frame,channel,frame_type,bits_S,bits_sfc,nonzero,maxAbs,codebook,iterations
62,chr,OLS,1330,307,302,3,5,59
63,chl,OLS,1327,302,308,3,5,59
63,chr,OLS,1330,292,305,3,5,59
64,chl,OLS,1362,278,319,3,5,59
64,chr,OLS,1356,296,308,3,5,59
65,chl,OLS,1322,335,295,4,5,59
65,chr,OLS,1327,315,298,3,5,59
66,chl,OLS,1363,286,313,4,5,59
66,chr,OLS,1475,298,355,3,5,59
67,chl,LSS,1318,332,294,3,5,59
67,chr,LSS,1374,331,324,3,5,59
68,chl,ESH,1816,1695,443,4,5,59
68,chr,ESH,1893,1696,464,4,5,59
69,chl,LPS,1417,309,336,3,5,59
69,chr,LPS,1407,308,332,3,5,59
70,chl,OLS,1387,278,323,3,5,59
70,chr,OLS,1349,271,319,3,5,59
71,chl,OLS,1441,290,343,4,5,59
71,chr,OLS,1323,295,292,4,5,59
72,chl,OLS,2095,267,297,6,7,59
72,chr,OLS,2056,291,274,6,7,59
73,chl,OLS,2102,299,302,6,7,59
73,chr,OLS,2094,315,287,6,7,59
74,chl,OLS,2136,296,317,5,7,59
74,chr,OLS,1351,329,305,4,5,59
75,chl,OLS,1377,291,305,4,5,59
75,chr,OLS,2188,279,348,6,7,59
76,chl,OLS,2177,339,334,5,7,59
76,chr,OLS,2237,331,376,6,7,59
77,chl,OLS,1395,302,325,4,5,59
77,chr,OLS,1292,307,294,3,5,59
78,chl,OLS,1439,283,354,3,5,59
78,chr,OLS,1418,263,346,3,5,59
79,chl,OLS,1462,273,350,3,5,59
79,chr,OLS,1522,277,377,3,5,59
80,chl,OLS,1445,273,348,3,5,59
80,chr,OLS,1441,274,351,3,5,59
81,chl,OLS,1555,296,384,3,5,59
81,chr,OLS,1415,298,342,4,5,59
82,chl,OLS,1418,303,332,4,5,59
82,chr,OLS,1427,300,331,4,5,59
83,chl,OLS,2181,311,334,8,9,59
83,chr,OLS,1447,324,352,3,5,59
84,chl,LSS,2192,304,345,5,7,59
84,chr,LSS,1462,328,361,3,5,59
85,chl,ESH,1710,1795,399,4,5,59
85,chr,ESH,1801,1701,436,3,5,59
86,chl,LPS,1406,289,331,3,5,59
86,chr,LPS,1484,281,356,3,5,59
87,chl,OLS,1322,275,294,3,5,59
87,chr,OLS,1438,270,325,3,5,59
88,chl,OLS,1352,274,321,3,5,59
88,chr,OLS,1381,295,320,3,5,59
89,chl,OLS,1318,275,295,3,5,59
89,chr,OLS,1301,299,296,4,5,59
90,chl,OLS,1417,273,329,3,5,59
90,chr,OLS,1328,305,298,3,5,59
91,chl,OLS,2273,275,380,9,9,59
91,chr,OLS,1442,316,351,3,5,59
92,chl,OLS,1383,271,327,3,5,59
92,chr,OLS,1314,288,294,3,5,59
93,chl,OLS,1423,286,340,3,5,59
93,chr,OLS,2103,309,301,5,7,59
94,chl,OLS,1565,277,390,3,5,59
94,chr,OLS,1422,290,338,3,5,59
95,chl,OLS,1390,299,333,3,5,59
95,chr,OLS,1382,289,331,3,5,59
96,chl,OLS,1373,291,319,4,5,59
96,chr,OLS,1320,293,300,3,5,59
97,chl,OLS,1342,298,311,3,5,59
97,chr,OLS,2137,298,321,5,7,59
98,chl,OLS,1383,305,324,3,5,59
98,chr,OLS,1311,297,288,3,5,59
99,chl,OLS,1399,299,330,3,5,59
99,chr,OLS,1319,289,300,3,5,59
100,chl,OLS,1397,299,322,3,5,59
100,chr,OLS,1351,303,303,3,5,59
101,chl,OLS,1390,293,326,3,5,59
101,chr,OLS,1406,288,331,3,5,59
102,chl,OLS,1362,288,313,3,5,59
102,chr,OLS,1376,285,315,3,5,59
103,chl,OLS,1460,286,349,3,5,59
103,chr,OLS,1462,289,351,3,5,59
104,chl,OLS,1452,295,350,3,5,59
104,chr,OLS,1449,314,347,3,5,59
105,chl,OLS,1456,275,340,3,5,59
105,chr,OLS,1420,284,331,3,5,59
106,chl,OLS,1420,273,338,3,5,59
106,chr,OLS,1484,258,355,3,5,59
107,chl,OLS,1403,276,335,3,5,59
107,chr,OLS,1419,289,334,3,5,59
108,chl,OLS,1414,297,343,3,5,59
108,chr,OLS,1312,308,307,3,5,59
109,chl,OLS,1403,290,335,3,5,59
109,chr,OLS,1381,300,332,3,5,59
110,chl,LSS,1480,298,365,3,5,59
110,chr,LSS,1438,301,347,3,5,59
111,chl,ESH,1673,1795,401,3,5,59
111,chr,ESH,1728,1757,423,3,5,59
112,chl,ESH,1353,2163,297,3,5,59
112,chr,ESH,1331,2034,276,4,5,59
113,chl,LPS,1428,301,349,3,5,59
113,chr,LPS,1477,289,371,3,5,59
114,chl,OLS,1455,315,347,3,5,59
114,chr,OLS,1462,324,353,3,5,59
115,chl,OLS,1529,287,374,3,5,59
115,chr,OLS,1433,288,334,3,5,59
116,chl,OLS,1454,290,345,3,5,59
116,chr,OLS,1505,310,363,3,5,59
117,chl,OLS,1458,295,339,3,5,59
117,chr,OLS,2205,324,348,5,7,59
118,chl,OLS,1464,279,349,3,5,59
118,chr,OLS,1403,320,324,4,5,59
119,chl,OLS,1401,308,351,3,5,59
119,chr,OLS,1377,315,341,3,5,59
120,chl,OLS,1376,279,326,3,5,59
120,chr,OLS,1397,301,332,4,5,59
121,chl,OLS,1395,282,329,3,5,59
121,chr,OLS,1388,296,327,3,5,59
122,chl,OLS,1383,286,318,3,5,59
122,chr,OLS,1384,277,320,3,5,59
123,chl,OLS,1370,276,320,3,5,59
123,chr,OLS,1408,272,338,3,5,59
124,chl,OLS,1426,270,345,3,5,59
124,chr,OLS,1496,258,365,3,5,59
125,chl,OLS,1385,262,323,3,5,59
125,chr,OLS,1432,268,332,3,5,59
126,chl,OLS,1441,291,340,4,5,59
126,chr,OLS,1396,266,324,3,5,59
127,chl,OLS,1442,284,336,3,5,59
127,chr,OLS,1412,296,336,3,5,59
128,chl,OLS,1459,291,350,3,5,59
128,chr,OLS,1454,281,358,3,5,59
129,chl,OLS,1541,279,375,3,5,59
129,chr,OLS,2302,288,409,5,7,59
130,chl,OLS,1458,304,363,3,5,59
130,chr,OLS,1362,321,326,3,5,59
131,chl,OLS,1364,308,313,3,5,59
131,chr,OLS,1295,296,288,4,5,59
132,chl,OLS,1483,262,355,3,5,59
132,chr,OLS,1383,280,314,3,5,59
133,chl,OLS,1350,304,311,3,5,59
133,chr,OLS,1323,303,302,3,5,59
134,chl,OLS,1273,338,270,3,5,59
134,chr,OLS,1290,326,286,3,5,59
135,chl,OLS,1374,306,319,3,5,59
135,chr,OLS,1355,301,303,3,5,59
136,chl,LSS,1380,331,335,3,5,59
136,chr,LSS,1373,329,338,3,5,59
137,chl,ESH,2412,1653,418,6,7,59
137,chr,ESH,1750,1556,424,4,5,59
138,chl,LPS,1378,289,323,3,5,59
138,chr,LPS,1442,282,347,3,5,59
139,chl,OLS,1385,276,317,3,5,59
139,chr,OLS,1399,283,337,3,5,59
140,chl,OLS,1379,281,328,3,5,59
140,chr,OLS,1373,295,324,3,5,59
141,chl,OLS,2135,302,320,6,7,59
141,chr,OLS,1304,304,291,4,5,59
142,chl,OLS,2119,324,316,6,7,59
142,chr,OLS,2125,311,318,6,7,59
143,chl,OLS,2121,325,315,6,7,59
143,chr,OLS,2169,340,343,6,7,59
144,chl,OLS,2186,309,352,6,7,59
144,chr,OLS,1424,303,363,3,5,59
145,chl,OLS,2138,324,328,6,7,59
145,chr,OLS,2188,311,354,6,7,59
146,chl,OLS,1486,327,373,3,5,59
146,chr,OLS,1459,328,364,4,5,59
147,chl,OLS,1459,273,367,3,5,59
147,chr,OLS,1449,293,355,3,5,59
148,chl,OLS,1510,294,371,3,5,59
148,chr,OLS,1567,315,396,3,5,59
149,chl,OLS,1482,283,361,3,5,59
149,chr,OLS,1452,294,356,3,5,59
150,chl,OLS,1486,298,372,3,5,59
150,chr,OLS,1492,292,373,3,5,59
151,chl,OLS,1426,290,342,3,5,59
151,chr,OLS,1436,289,345,3,5,59
152,chl,OLS,1460,294,365,4,5,59
152,chr,OLS,1408,304,347,4,5,59
153,chl,OLS,1418,310,340,4,5,59
153,chr,OLS,1555,317,388,3,5,59
154,chl,OLS,1333,293,332,3,5,59
154,chr,OLS,1321,289,329,3,5,59
155,chl,OLS,1422,285,341,3,5,59
155,chr,OLS,1387,293,326,3,5,59
156,chl,OLS,1403,286,320,4,5,59
156,chr,OLS,1416,300,339,3,5,59
157,chl,OLS,1371,273,309,3,5,59
157,chr,OLS,1467,263,355,3,5,59
158,chl,OLS,1366,291,316,3,5,59
158,chr,OLS,1404,278,331,3,5,59
159,chl,OLS,1400,273,334,3,5,59
159,chr,OLS,1413,282,332,3,5,59
160,chl,OLS,1485,275,362,3,5,59
160,chr,OLS,1388,270,313,3,5,59
161,chl,OLS,1485,295,365,3,5,59
161,chr,OLS,1384,278,317,3,5,59
162,chl,LSS,1504,272,360,3,5,59
162,chr,LSS,1489,278,360,3,5,59
163,chl,ESH,1514,1784,338,3,5,59
163,chr,ESH,1551,1750,351,3,5,59
164,chl,LPS,1423,295,358,3,5,59
164,chr,LPS,1457,298,371,3,5,59
165,chl,OLS,1340,296,318,3,5,59
165,chr,OLS,1315,279,310,3,5,59
166,chl,OLS,1348,307,316,3,5,59
166,chr,OLS,1342,302,311,3,5,59
167,chl,OLS,1344,315,309,3,5,59
167,chr,OLS,1324,324,304,3,5,59
168,chl,OLS,1294,303,287,3,5,59
168,chr,OLS,1317,313,291,3,5,59
169,chl,OLS,1424,326,334,3,5,59
169,chr,OLS,1385,313,316,3,5,59
170,chl,OLS,1486,332,334,4,5,59
170,chr,OLS,1319,333,294,3,5,59
171,chl,OLS,1457,333,367,4,5,59
171,chr,OLS,1393,306,338,3,5,59
172,chl,OLS,1419,294,337,3,5,59
172,chr,OLS,1373,292,322,3,5,59
173,chl,OLS,1526,282,371,3,5,59
173,chr,OLS,1385,293,314,3,5,59
174,chl,OLS,1440,266,345,3,5,59
174,chr,OLS,1373,283,312,3,5,59
175,chl,OLS,1430,278,333,3,5,59
175,chr,OLS,1434,264,335,3,5,59
176,chl,OLS,1432,273,333,3,5,59
176,chr,OLS,1348,277,310,3,5,59
177,chl,OLS,1408,303,331,3,5,59
177,chr,OLS,1451,279,344,3,5,59
178,chl,OLS,1476,299,365,3,5,59
178,chr,OLS,1408,280,324,3,5,59
179,chl,OLS,1433,295,344,3,5,59
179,chr,OLS,1535,289,379,3,5,59
180,chl,OLS,1506,325,383,3,5,59
180,chr,OLS,1444,309,355,3,5,59
181,chl,OLS,1494,279,364,3,5,59
181,chr,OLS,1492,280,371,3,5,59
182,chl,OLS,1652,283,407,4,5,59
182,chr,OLS,1482,283,368,3,5,59
183,chl,OLS,1454,285,346,3,5,59
183,chr,OLS,1449,278,348,3,5,59
184,chl,OLS,1454,295,357,3,5,59
184,chr,OLS,1495,290,372,3,5,59
185,chl,OLS,1554,288,392,3,5,59
185,chr,OLS,1600,285,385,4,5,59
186,chl,OLS,1689,315,426,3,5,59
